Date,qt,prec,tmean
8/3/1990,3.99,21.7597,17.6932
8/4/1990,4.35,15.2318,17.6156
8/5/1990,5.23,7.6159,18.1432
8/6/1990,4.62,4.54,18.2572
8/7/1990,4.52,18.1598,18.2927
8/8/1990,4.26,18.1598,18.2316
8/9/1990,3.99,0,18.6983
8/10/1990,3.79,0,18.4127
8/11/1990,3.86,0,17.3103
8/12/1990,3.73,0,17.8295
8/13/1990,4.03,20.1271,17.8511
8/14/1990,4.83,33.5451,17.4953
8/15/1990,5.22,0,16.8401
8/16/1990,5.11,4.8427,18.026
8/17/1990,4.49,4.8427,17.9264
8/18/1990,4.26,9.6854,18.5415
8/19/1990,3.93,14.5282,18.0534
8/20/1990,3.75,4.8427,18.8464
8/21/1990,4.5,29.1467,18.759
8/22/1990,7.46,29.1467,17.6626
8/23/1990,6.21,17.0023,17.6352
8/24/1990,4.85,0,18.1336
8/25/1990,4.53,8.5011,18.4968
8/26/1990,4.13,14.4741,18.6468
8/27/1990,3.93,7.2371,18.1091
8/28/1990,4.47,14.4741,17.7272
8/29/1990,3.73,8.2709,17.4753
8/30/1990,4.17,14.4741,18.6701
8/31/1990,5.25,0,17.4256
9/1/1990,4.73,9.3594,17.4345
9/2/1990,4.69,0,17.6237
9/3/1990,4.7,10.4853,17.3744
9/4/1990,4.56,15.8336,17.2477
9/5/1990,4.75,16.0271,17.7147
9/6/1990,4.77,16.047,18.3798
9/7/1990,4.26,6.6278,18.1988
9/8/1990,4.26,0,17.7648
9/9/1990,3.96,13.006,17.5233
9/10/1990,3.95,16.8891,17.9761
9/11/1990,4.5,7.6972,18.1695
9/12/1990,5.14,7.5685,17.711
9/13/1990,7.1,13.4894,17.9595
9/14/1990,7.31,17.6855,17.3708
9/15/1990,5.71,32.7452,17.5475
9/16/1990,5.37,7.3279,17.5774
9/17/1990,5.23,7.3279,17.5514
9/18/1990,6.11,0,17.7917
9/19/1990,5.45,14.6558,17.7473
9/20/1990,4.4,29.3117,17.7821
9/21/1990,3.69,14.379,17.6633
9/22/1990,5.74,33.8247,17.0362
9/23/1990,5.69,8.007,17.4094
9/24/1990,5.53,10.8211,17.8482
9/25/1990,5.45,4.8281,18.0585
9/26/1990,5.63,9.1437,18.1641
9/27/1990,6.37,12.7618,17.4355
9/28/1990,6.46,14.2672,16.971
9/29/1990,5.26,14.2415,17.24
9/30/1990,6.03,0,18.0457
10/1/1990,5.61,7.8807,18.361
10/2/1990,5.46,5.4312,17.3989
10/3/1990,5.68,17.2578,17.3764
10/4/1990,6.1,31.2569,17.5194
10/5/1990,5.78,10.3525,16.9872
10/6/1990,8.45,0,16.9361
10/7/1990,11.1,18.3975,17.1692
10/8/1990,15,18.3975,17.092
10/9/1990,19.3,55.1924,16.7496
10/10/1990,22.2,36.795,17.6985
10/11/1990,22.1,35.4867,17.9581
10/12/1990,23.1,35.4867,17.7331
10/13/1990,20.9,0,17.8858
10/14/1990,20.4,35.4867,17.8222
10/15/1990,23.6,31.0508,17.6811
10/16/1990,24.8,67.4333,17.0409
10/17/1990,24.8,13.4867,17.1775
10/18/1990,21.7,0,17.292
10/19/1990,21,0,17.5173
10/20/1990,20.2,13.4867,17.6545
10/21/1990,18.4,47.1345,18.0013
10/22/1990,16.8,0,17.2355
10/23/1990,18.3,31.423,17.3859
10/24/1990,26.2,35.912,17.8327
10/25/1990,22.5,0,18.0983
10/26/1990,20.9,0,17.3946
10/27/1990,21.6,0,17.3502
10/28/1990,24.7,0,17.2458
10/29/1990,22.5,0,17.3365
10/30/1990,19.9,0,17.1269
10/31/1990,18.7,40.1387,17.6302
11/1/1990,18.4,60.3845,17.9242
11/2/1990,20.6,40.2564,17.9414
11/3/1990,32.2,0,16.9263
11/4/1990,28.8,20.1282,17.1576
11/5/1990,28.2,23.0036,17.0062
11/6/1990,25.5,13.7296,17.4311
11/7/1990,22.7,0,18.3039
11/8/1990,20.9,0,17.1366
11/9/1990,18.9,12.0134,17.873
11/10/1990,17.8,12.0134,18.2932
11/11/1990,16.6,3.3027,18.1283
11/12/1990,15.3,7.6692,17.977
11/13/1990,14.3,8.352,18.0732
11/14/1990,14.5,11.1783,17.4639
11/15/1990,15.5,5.9702,17.6088
11/16/1990,15.7,11.3919,17.2177
11/17/1990,14.1,52.3958,16.9091
11/18/1990,13.3,10.661,16.3063
11/19/1990,12.6,0,17.2607
11/20/1990,11.1,0,17.1339
11/21/1990,10.2,0,17.7705
11/22/1990,9.96,0,17.7429
11/23/1990,9.31,0,17.8487
11/24/1990,8.65,0,17.8474
11/25/1990,8.94,0,17.9826
11/26/1990,8.65,8.5739,17.8508
11/27/1990,8.34,6.8469,17.7194
11/28/1990,8.17,9.9352,17.377
11/29/1990,7.62,0,17.4383
11/30/1990,6.46,10.4634,17.5385
12/1/1990,7.18,0,17.9
12/2/1990,6.36,0,18.1722
12/3/1990,7.18,26.0752,17.7024
12/4/1990,6.99,43.4587,17.3395
12/5/1990,9.59,26.0752,17.6717
12/6/1990,7.65,11.4658,17.4701
12/7/1990,10.7,10.0326,16.4466
12/8/1990,9.23,10.0326,17.2063
12/9/1990,10.2,0,17.0996
12/10/1990,11.4,0,16.6353
12/11/1990,11.3,0,16.9863
12/12/1990,8.3,0,17.6808
12/13/1990,7.64,0,16.9703
12/14/1990,7.32,0,17.3491
12/15/1990,7.97,0,18.5709
12/16/1990,7.01,0,18.3085
12/17/1990,6.7,0,18.3425
12/18/1990,6.39,0,18.459
12/19/1990,6.1,7.6393,18.7653
12/20/1990,6.1,0,18.1618
12/21/1990,5.81,0,17.2774
12/22/1990,5.52,0,17.3361
12/23/1990,5.52,0,16.9778
12/24/1990,5.38,0,16.5329
12/25/1990,5.25,0,16.9731
12/26/1990,5.11,0,17.2265
12/27/1990,5.11,0,16.8426
12/28/1990,4.96,0,17.1647
12/29/1990,4.82,0,17.9031
12/30/1990,4.82,0,17.7204
12/31/1990,4.69,0,17.1492
1/1/1991,4.69,0,17.2127
1/2/1991,4.69,0,17.1595
1/3/1991,4.69,0,17.2889
1/4/1991,4.69,0,17.5297
1/5/1991,4.56,0,17.7704
1/6/1991,4.29,0,18.3022
1/7/1991,4.17,0,17.8066
1/8/1991,4.05,0,17.5288
1/9/1991,3.92,0,17.8727
1/10/1991,3.92,0,18.2535
1/11/1991,3.92,0,18.0497
1/12/1991,3.81,0,18.2688
1/13/1991,3.69,0,17.2367
1/14/1991,3.69,0,17.2222
1/15/1991,4.47,0,16.4813
1/16/1991,4.42,0,16.6646
1/17/1991,3.92,0,16.6953
1/18/1991,4.05,16.239,16.389
1/19/1991,4.05,19.6982,16.5105
1/20/1991,3.81,0,16.3579
1/21/1991,3.69,0,16.4435
1/22/1991,3.69,0,16.252
1/23/1991,3.46,0,16.0566
1/24/1991,3.25,0,16.5372
1/25/1991,3.15,0,17.2605
1/26/1991,3.15,0,17.3166
1/27/1991,3.05,0,17.2168
1/28/1991,3.05,0,17.5742
1/29/1991,2.94,0,18.2399
1/30/1991,2.85,0,18.4193
1/31/1991,2.85,0,18.2176
2/1/1991,2.85,0,17.8169
2/2/1991,2.94,0,16.8417
2/3/1991,2.74,0,16.6136
2/4/1991,2.85,0,17.0629
2/5/1991,2.69,0,16.7286
2/6/1991,2.65,0,16.4596
2/7/1991,2.56,0,16.3637
2/8/1991,2.44,0,16.4727
2/9/1991,2.44,0,15.9209
2/10/1991,2.38,0,17.1448
2/11/1991,2.38,0,17.861
2/12/1991,2.3,0,17.5701
2/13/1991,2.3,0,16.9065
2/14/1991,2.3,0,18.2247
2/15/1991,2.3,0,19.0021
2/16/1991,2.33,0,18.2317
2/17/1991,2.38,0,17.2674
2/18/1991,2.24,0,18.3073
2/19/1991,2.18,0,17.6005
2/20/1991,2.16,0,17.3603
2/21/1991,1.71,0,17.6157
2/22/1991,2.24,0,17.418
2/23/1991,1.83,0,18.3398
2/24/1991,1.64,0,18.911
2/25/1991,1.67,0,18.8956
2/26/1991,1.99,0,18.91
2/27/1991,2.2,0,18.9303
2/28/1991,2.14,6.8549,18.926
3/1/1991,2.19,0,18.5125
3/2/1991,2.16,0,18.5704
3/3/1991,2.11,0,19.055
3/4/1991,2.07,0,18.6992
3/5/1991,2.07,0,17.2391
3/6/1991,2.03,0,17.6973
3/7/1991,2.03,0,18.684
3/8/1991,1.99,0,19.083
3/9/1991,1.99,0,18.9108
3/10/1991,1.95,0,18.809
3/11/1991,1.95,0,17.7313
3/12/1991,1.91,0,17.9662
3/13/1991,1.87,0,18.5816
3/14/1991,1.87,0,19.4008
3/15/1991,1.87,0,19.568
3/16/1991,1.83,0,19.3518
3/17/1991,1.71,0,18.9425
3/18/1991,1.67,0,18.8116
3/19/1991,1.6,0,19.3027
3/20/1991,1.6,0,18.4397
3/21/1991,1.64,0,18.1111
3/22/1991,1.36,0,18.5312
3/23/1991,1.53,0,18.1273
3/24/1991,1.71,0,18.6332
3/25/1991,1.71,5.7363,17.8577
3/26/1991,1.71,0,17.8823
3/27/1991,1.71,0,18.1074
3/28/1991,1.71,0,18.0648
3/29/1991,1.67,0,18.3482
3/30/1991,1.64,6.1066,19.1693
3/31/1991,1.67,6.5013,18.7811
4/1/1991,1.64,0,18.1007
4/2/1991,1.64,0,17.9383
4/3/1991,1.56,0,18.2138
4/4/1991,1.56,0,17.8837
4/5/1991,1.56,0,18.072
4/6/1991,1.56,0,18.8355
4/7/1991,1.75,12.5675,18.9922
4/8/1991,1.64,3.1419,18.8874
4/9/1991,1.67,21.5442,18.3579
4/10/1991,1.64,6.2837,18.313
4/11/1991,1.56,0,18.2026
4/12/1991,1.56,0,18.3281
4/13/1991,1.58,13.4868,18.0172
4/14/1991,1.62,0,17.9365
4/15/1991,1.64,0,18.4085
4/16/1991,1.53,2.1666,18.9957
4/17/1991,1.53,0,19.1854
4/18/1991,1.49,3.3313,19.2031
4/19/1991,1.46,0,18.8386
4/20/1991,1.46,0,19.3646
4/21/1991,1.42,0,19.8165
4/22/1991,1.42,0,19.5215
4/23/1991,1.64,0,20.1631
4/24/1991,1.64,16.4096,19.5948
4/25/1991,1.64,10.4846,19.1101
4/26/1991,1.56,6.9237,19.532
4/27/1991,1.6,13.8474,19.1936
4/28/1991,1.56,0,19.4312
4/29/1991,1.56,13.8474,18.9321
4/30/1991,1.71,6.9237,18.4511
5/1/1991,1.83,9.4012,17.8677
5/2/1991,2,9.4012,18.2192
5/3/1991,1.82,4.7006,18.4293
5/4/1991,1.78,32.9043,18.6484
5/5/1991,2.42,14.1018,18.2113
5/6/1991,2.03,10.59,17.5835
5/7/1991,1.79,10.59,19.1324
5/8/1991,1.71,10.59,19.5863
5/9/1991,1.64,10.59,19.178
5/10/1991,1.64,24.2058,18.8155
5/11/1991,1.6,16.1944,19.0426
5/12/1991,1.66,23.629,18.4531
5/13/1991,1.75,10.4986,17.7173
5/14/1991,2.44,17.8392,18.8141
5/15/1991,2.77,28.1781,18.6714
5/16/1991,1.95,30.965,18.0344
5/17/1991,2.99,23.2237,17.4281
5/18/1991,2.38,15.4825,17.0354
5/19/1991,2.97,7.7412,17.0168
5/20/1991,5.78,0,17.0087
5/21/1991,4.99,14.5002,16.763
5/22/1991,3.11,4.8334,17.0391
5/23/1991,2.55,9.6668,18.0168
5/24/1991,2.57,9.6668,18.0312
5/25/1991,2.2,0,18.2935
5/26/1991,1.99,0,18.8532
5/27/1991,1.87,0,19.1397
5/28/1991,1.64,0,19.538
5/29/1991,1.73,16.7298,18.6146
5/30/1991,2.03,33.4595,18.5351
5/31/1991,2.82,19.1197,18.3323
6/1/1991,2.74,4.9257,18.5648
6/2/1991,3.97,9.8515,18.09
6/3/1991,4.86,9.8515,18.3659
6/4/1991,4.52,11.2588,18.2294
6/5/1991,5.27,9.8515,17.8798
6/6/1991,5.06,15.6983,17.9646
6/7/1991,3.86,14.2927,18.9889
6/8/1991,3.24,11.1341,19.7858
6/9/1991,2.77,0,20.1518
6/10/1991,2.47,0,19.9409
6/11/1991,2.29,19.6345,20.3519
6/12/1991,2.2,6.5448,19.8213
6/13/1991,2.11,44.8789,18.4535
6/14/1991,2.19,6.5448,17.9978
6/15/1991,2.76,13.0897,18.201
6/16/1991,2.6,0,18.2319
6/17/1991,2.49,2.8881,17.607
6/18/1991,2.33,15.3198,17.6373
6/19/1991,3.79,24.5214,17.7665
6/20/1991,5.46,15.912,18.0073
6/21/1991,4.84,7.4164,17.6717
6/22/1991,4.06,16.7248,17.8845
6/23/1991,4.69,13.8715,18.0289
6/24/1991,4.44,8.3877,18.5985
6/25/1991,4.16,11.0082,18.5096
6/26/1991,3.69,10.8961,17.2849
6/27/1991,3.49,27.2403,17.7519
6/28/1991,4.03,5.4481,17.6066
6/29/1991,4.51,10.8961,17.6185
6/30/1991,6.45,21.7922,17.134
7/1/1991,4.84,0,16.8647
7/2/1991,3.6,10.238,18.9516
7/3/1991,3.73,6.1428,18.511
7/4/1991,3.92,7.1507,17.8525
7/5/1991,4.13,17.4284,17.3666
7/6/1991,4.8,7.4965,16.8288
7/7/1991,4.55,3.0511,17.0269
7/8/1991,4.13,8.2911,17.3754
7/9/1991,4.05,7.0804,17.3253
7/10/1991,3.86,9.2131,17.2354
7/11/1991,3.84,5.6682,17.8946
7/12/1991,4.06,4.1585,17.8079
7/13/1991,3.73,0,18.3444
7/14/1991,3.6,0,18.2905
7/15/1991,3.48,3.1387,17.7874
7/16/1991,3.42,7.9402,17.2617
7/17/1991,4.12,15.5913,17.4152
7/18/1991,4.41,8.0435,17.7383
7/19/1991,3.73,0,17.8448
7/20/1991,3.48,8.6114,17.866
7/21/1991,4.54,0,17.2483
7/22/1991,5.38,15.1964,17.9408
7/23/1991,4.4,0,17.5578
7/24/1991,3.99,0,18.2192
7/25/1991,3.86,17.7324,17.955
7/26/1991,3.6,19.6405,17.9918
7/27/1991,3.6,16.2947,17.7511
7/28/1991,3.75,0,18.0218
7/29/1991,3.48,0,17.6407
7/30/1991,3.38,0,17.5872
7/31/1991,3.7,11.8639,16.9282
8/1/1991,4.13,6.3657,16.4121
8/2/1991,6.02,21.3629,17.0036
8/3/1991,4.77,18.5469,17.1619
8/4/1991,4.31,8.9012,17.0102
8/5/1991,5.17,0,17.2647
8/6/1991,5.57,14.122,16.5962
8/7/1991,4.83,14.122,17.1905
8/8/1991,5.22,7.061,17.1725
8/9/1991,4.77,0,17.3807
8/10/1991,4.47,0,17.1671
8/11/1991,4.69,0,17.4181
8/12/1991,5.06,9.3751,17.6085
8/13/1991,5.05,57.4228,17.2977
8/14/1991,4.47,0,17.6102
8/15/1991,4.26,0,18.0029
8/16/1991,4.13,0,17.9877
8/17/1991,4.05,7.9127,18.0574
8/18/1991,3.86,7.5478,17.9945
8/19/1991,3.79,6.6931,17.6842
8/20/1991,3.73,10.8319,16.9538
8/21/1991,3.6,8.7517,17.6722
8/22/1991,3.48,0,17.9808
8/23/1991,3.8,7.127,16.8433
8/24/1991,4.13,14.3623,17.4864
8/25/1991,3.6,0,17.6757
8/26/1991,3.24,0,18.3055
8/27/1991,3.24,0,17.191
8/28/1991,3.14,0,17.443
8/29/1991,4.3,5.9756,17.5503
8/30/1991,18.6,51.9169,17.5366
8/31/1991,22.7,45.614,17.2534
9/1/1991,11.8,0,17.4228
9/2/1991,9.18,0,17.9291
9/3/1991,8.04,0,17.714
9/4/1991,8.69,36.1925,16.8844
9/5/1991,6.95,0,17.6271
9/6/1991,6.46,30.4221,18.1129
9/7/1991,6.25,5.0461,17.4399
9/8/1991,6.11,0,17.5299
9/9/1991,5.69,0,17.6562
9/10/1991,5.51,3.3603,17.8855
9/11/1991,6.02,16.8144,17.6345
9/12/1991,6.25,26.3539,17.7857
9/13/1991,5.71,6.9777,17.9979
9/14/1991,5.47,3.4393,17.7036
9/15/1991,5.14,3.7153,17.4234
9/16/1991,5.06,0,17.1905
9/17/1991,5.06,6.6473,16.5197
9/18/1991,5.82,32.4928,16.6798
9/19/1991,7.95,16.1023,16.8238
9/20/1991,7.87,52.035,17.3091
9/21/1991,13.4,17.3002,16.7902
9/22/1991,15.6,31.6922,16.6729
9/23/1991,12.6,14.8899,16.7228
9/24/1991,11.6,42.648,17.2096
9/25/1991,12.2,10.0694,17.5781
9/26/1991,13.1,15.2376,17.5957
9/27/1991,13.3,12.2875,17.4717
9/28/1991,14.7,15.1221,17.1011
9/29/1991,14.7,27.1403,17.0577
9/30/1991,13,9.0169,16.9629
10/1/1991,12.2,18.613,16.6006
10/2/1991,13.4,55.8391,16.8383
10/3/1991,16.6,18.613,16.826
10/4/1991,20.5,18.613,17.1435
10/5/1991,22.2,16.2864,16.8543
10/6/1991,22.7,16.4609,16.9893
10/7/1991,20.1,36.0081,17.4048
10/8/1991,17.3,21.6049,17.2461
10/9/1991,16.1,7.2016,16.993
10/10/1991,16.2,0,16.6096
10/11/1991,16.8,23.5496,16.0007
10/12/1991,19.1,47.0993,16.2331
10/13/1991,17.3,0,16.5832
10/14/1991,15.7,0,17.4852
10/15/1991,14.7,0,17.5182
10/16/1991,13.6,18.1651,17.7481
10/17/1991,12.3,8.8314,17.6104
10/18/1991,11,10.0782,17.5
10/19/1991,9.63,40.7458,16.848
10/20/1991,8.7,0,17.8046
10/21/1991,9.28,0,18.0872
10/22/1991,9.74,0,17.6772
10/23/1991,9.28,0,18.5156
10/24/1991,8.35,0,18.33
10/25/1991,7.75,28.1695,17.6398
10/26/1991,8.86,7.9296,17.3112
10/27/1991,10.7,8.3553,16.4993
10/28/1991,12.4,36.1461,17.1862
10/29/1991,14.7,13.7836,17.4179
10/30/1991,15.6,10.9843,16.5456
10/31/1991,16.3,19.808,16.981
11/1/1991,14.4,6.115,17.6303
11/2/1991,12.3,10.3454,17.2471
11/3/1991,13.8,20.8128,17.2042
11/4/1991,18.4,15.5791,17.3288
11/5/1991,15.5,7.9455,17.2636
11/6/1991,13.9,22.2067,18.0739
11/7/1991,12.7,0,17.8189
11/8/1991,11.5,0,17.6174
11/9/1991,9.48,44.4134,16.7736
11/10/1991,9.03,12.6896,16.1532
11/11/1991,9.61,0,16.8642
11/12/1991,9.45,0,17.546
11/13/1991,8.24,0,18.1086
11/14/1991,7.65,0,17.4765
11/15/1991,7.55,22.2466,17.4689
11/16/1991,6.81,0,17.3532
11/17/1991,6.54,0,16.9014
11/18/1991,6.37,0,17.4412
11/19/1991,6.82,13.7333,17.6003
11/20/1991,6.81,0,17.6494
11/21/1991,5.78,0,17.6606
11/22/1991,6.64,8.1113,16.9404
11/23/1991,6.45,0,18.0701
11/24/1991,6.15,16.2227,18.0887
11/25/1991,6.84,40.5567,17.7705
11/26/1991,7.51,2.9303,17.6145
11/27/1991,6.9,4.489,17.7
11/28/1991,6.11,4.3999,17.9694
11/29/1991,5.94,6.8671,17.9849
11/30/1991,5.84,5.7627,18.5082
12/1/1991,5.8,15.002,18.7232
12/2/1991,6.2,9.9309,18.1788
12/3/1991,5.98,0,17.7976
12/4/1991,5.9,14.742,17.8316
12/5/1991,5.78,0,17.4189
12/6/1991,5.63,0,17.2945
12/7/1991,5.5,0,17.4679
12/8/1991,5.36,0,17.5189
12/9/1991,5.23,0,18.4635
12/10/1991,5.09,0,17.5563
12/11/1991,4.97,0,17.6528
12/12/1991,4.88,0,17.0223
12/13/1991,4.72,0,17.2169
12/14/1991,4.59,0,17.7317
12/15/1991,4.47,0,17.1452
12/16/1991,4.35,0,16.7901
12/17/1991,4.24,14.0694,16.4589
12/18/1991,4,0,16.4068
12/19/1991,3.89,0,16.5733
12/20/1991,3.78,0,16.1616
12/21/1991,3.67,0,16.3456
12/22/1991,3.6,0,15.6556
